iter,noise,n_samples,model,r2
1,0.1,2010,RF,0.6887008676164597
1,0.1,2010,LR,0.9975571898569746
1,0.1,2510,CPF,0.9903047884559508
1,0.1,2510,RF,0.7166559405707135
1,0.1,2510,LR,0.9975704081495964
1,0.1,3010,CPF,0.9926389188293204
1,0.1,3010,RF,0.7261982419805566
1,0.1,3010,LR,0.9975709289484722
1,0.1,3510,CPF,0.9944095523741748
1,0.1,3510,RF,0.7338957308406235
1,0.1,3510,LR,0.997580944177752
1,0.1,4010,CPF,0.9952586918250733
1,0.1,4010,RF,0.7340407967076354
1,0.1,4010,LR,0.9975825911564635
1,0.1,4510,CPF,0.99552453393059
1,0.1,4510,RF,0.7351541470249991
1,0.1,4510,LR,0.997586535021872
1,0.1,5010,CPF,0.99596787181368
1,0.1,5010,RF,0.7386994205986341
1,0.1,5010,LR,0.997587371443501
1,0.1,5510,CPF,0.9959724924408988
1,0.1,5510,RF,0.737819260046662
1,0.1,5510,LR,0.9975930036109366
1,0.1,6010,CPF,0.9959972285397356
1,0.1,6010,RF,0.7465469163443677
1,0.1,6010,LR,0.9975952041696158
1,0.1,6510,CPF,0.9957621934848386
1,0.1,6510,RF,0.7478556198320918
1,0.1,6510,LR,0.9975980639391124
1,0.1,7010,CPF,0.9957471920986823
1,0.1,7010,RF,0.7528933081641274
1,0.1,7010,LR,0.9975992104938132
1,0.1,7510,CPF,0.9960531967677618
1,0.1,7510,RF,0.7502350516791625
1,0.1,7510,LR,0.9975971537454107
1,0.1,8010,CPF,0.9961712755915997
1,0.1,8010,RF,0.7514790305522739
1,0.1,8010,LR,0.9975971172206026
1,1.0,10,CPF,0.1130885971707909
1,1.0,10,RF,0.0017295564629836724
1,1.0,10,LR,0.41575244616819207
1,1.0,510,CPF,0.7029746293644674
1,1.0,510,RF,0.4955739366472838
1,1.0,510,LR,0.7965313691197924
1,1.0,1010,CPF,0.7554209375941117
1,1.0,1010,RF,0.5253074201769538
1,1.0,1010,LR,0.8014382975735872
1,1.0,1510,CPF,0.7777179248754138
1,1.0,1510,RF,0.5500425943022237
1,1.0,1510,LR,0.8026303584559595
1,1.0,2010,CPF,0.7800348072404804
1,1.0,2010,RF,0.5634876679527402
1,1.0,2010,LR,0.8028825483425812
1,1.0,2510,CPF,0.7891539701568674
1,1.0,2510,RF,0.5797105457601969
1,1.0,2510,LR,0.8039491707996391
1,1.0,3010,CPF,0.7913921587703726
1,1.0,3010,RF,0.5904896805681081
1,1.0,3010,LR,0.8039911955748844
1,1.0,3510,CPF,0.7947942413092197
1,1.0,3510,RF,0.5947215553121474
