id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
10,Automobile,159,25,46,0,1,CPF 48,0.7859751962163017,0.03386330604553223,0.00018858909606933594,5.0,2.0,2.0,10.0,100.0,1,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 49,0.7815399997950865,0.03323006629943848,0.00013256072998046875,5.0,2.0,2.0,10.0,100.0,1,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 50,0.6061992911439813,0.0067005157470703125,0.00013065338134765625,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 51,0.6715357319021652,0.006115913391113281,0.00010561943054199219,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 52,0.7407370871385253,0.0066301822662353516,0.00012350082397460938,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 53,0.6621877615436899,0.006566524505615234,0.00013113021850585938,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 54,0.7206862280166211,0.0062220096588134766,0.0001068115234375,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 55,0.7345286832928393,0.024410009384155273,0.0001971721649169922,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 56,0.7960393449137027,0.02205801010131836,0.00016999244689941406,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 57,0.817107169371488,0.02077484130859375,0.00018143653869628906,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 58,0.7493453135130248,0.021956920623779297,0.00016546249389648438,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 59,0.817698862846345,0.018768310546875,0.000152587890625,5.0,2.0,2.0,10.0,100.0,0.7,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 60,0.7828988684970664,0.0392909049987793,0.00024580955505371094,5.0,2.0,2.0,20.0,100.0,1,1.0,0.0
