id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,df_settings
87,Servo,167,4,0,0,1,CPF 45,0.4085414011672047,0.0007965564727783203,6.246566772460938e-05,1.0,2.0,2.0,50.0,100.0,sqrt,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 46,0.26110856145774697,0.000766754150390625,0.0001373291015625,1.0,2.0,2.0,50.0,100.0,sqrt,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 47,0.6031571480058857,0.0013413429260253906,0.00011372566223144531,1.0,2.0,2.0,50.0,100.0,sqrt,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 48,0.6243258024838358,0.0012111663818359375,8.106231689453125e-05,1.0,2.0,2.0,50.0,100.0,0.7,1,incl_blin
87,Servo,167,4,0,0,1,CPF 49,0.5220821016404777,0.0009531974792480469,7.271766662597656e-05,1.0,2.0,2.0,50.0,100.0,0.7,1,excl_blin
87,Servo,167,4,0,0,1,CPF 50,0.4480777699268419,0.0009713172912597656,0.00011110305786132812,1.0,2.0,2.0,50.0,100.0,0.7,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 51,0.5686850380172846,0.0010199546813964844,9.465217590332031e-05,1.0,2.0,2.0,50.0,100.0,0.7,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 52,0.550398771440782,0.0008981227874755859,8.654594421386719e-05,1.0,2.0,2.0,50.0,100.0,0.7,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 53,0.38425143796166195,0.0008895397186279297,7.557868957519531e-05,1.0,2.0,2.0,50.0,100.0,0.7,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 54,0.8201251357877722,0.0019488334655761719,0.00010919570922851562,5.0,2.0,2.0,10.0,100.0,1,1,incl_blin
87,Servo,167,4,0,0,1,CPF 55,0.7328783002382098,0.0028226375579833984,0.00023412704467773438,5.0,2.0,2.0,10.0,100.0,1,1,excl_blin
87,Servo,167,4,0,0,1,CPF 56,0.5388399000738986,0.0020651817321777344,0.00012969970703125,5.0,2.0,2.0,10.0,100.0,1,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 57,0.5960622581595223,0.0010275840759277344,0.000102996826171875,5.0,2.0,2.0,10.0,100.0,1,sqrt,excl_blin
