id,name,n_samples,n_features,fold,model,n_trees,r2
1,Abalone,4177,8,5,RF,16,0.5420734619530287
1,Abalone,4177,8,5,CPF,17,0.5563409159142472
1,Abalone,4177,8,5,RF,17,0.5175498560699614
1,Abalone,4177,8,5,CPF,18,0.5485337014484788
1,Abalone,4177,8,5,RF,18,0.5152361403312256
1,Abalone,4177,8,5,CPF,19,0.5452409347594094
1,Abalone,4177,8,5,RF,19,0.5157898480652212
9,Auto MPG,392,7,1,CPF,1,0.6873432624979322
9,Auto MPG,392,7,1,RF,1,0.7476021857934475
9,Auto MPG,392,7,1,CPF,2,0.8337005631001281
9,Auto MPG,392,7,1,RF,2,0.7984788017540293
9,Auto MPG,392,7,1,CPF,3,0.8735082934125746
9,Auto MPG,392,7,1,RF,3,0.817385049959843
9,Auto MPG,392,7,1,CPF,4,0.8134990691020645
9,Auto MPG,392,7,1,RF,4,0.8292020578740261
9,Auto MPG,392,7,1,CPF,5,0.86044159467549
9,Auto MPG,392,7,1,RF,5,0.8391535581803572
9,Auto MPG,392,7,1,CPF,6,0.8599924839553523
9,Auto MPG,392,7,1,RF,6,0.8904174449118625
9,Auto MPG,392,7,1,CPF,7,0.837446622470808
9,Auto MPG,392,7,1,RF,7,0.899583758378097
9,Auto MPG,392,7,1,CPF,8,0.8422090580500425
9,Auto MPG,392,7,1,RF,8,0.8477009651334816
9,Auto MPG,392,7,1,CPF,9,0.8665928635530625
9,Auto MPG,392,7,1,RF,9,0.8710890095343249
9,Auto MPG,392,7,1,CPF,10,0.8342225032058352
9,Auto MPG,392,7,1,RF,10,0.8489304890359355
9,Auto MPG,392,7,1,CPF,11,0.8696205253356054
9,Auto MPG,392,7,1,RF,11,0.8917153271736794
9,Auto MPG,392,7,1,CPF,12,0.8627596966348753
9,Auto MPG,392,7,1,RF,12,0.8797674470441318
9,Auto MPG,392,7,1,CPF,13,0.8499153774242316
9,Auto MPG,392,7,1,RF,13,0.8623460746727444
9,Auto MPG,392,7,1,CPF,14,0.8308825089485392
9,Auto MPG,392,7,1,RF,14,0.8953785478330949
9,Auto MPG,392,7,1,CPF,15,0.8580290794538801
9,Auto MPG,392,7,1,RF,15,0.8942174105276667
9,Auto MPG,392,7,1,CPF,16,0.8748004739487361
9,Auto MPG,392,7,1,RF,16,0.8743102550864357
9,Auto MPG,392,7,1,CPF,17,0.8651358076471394
9,Auto MPG,392,7,1,RF,17,0.8907181118410826
9,Auto MPG,392,7,1,CPF,18,0.8851395707827584
9,Auto MPG,392,7,1,RF,18,0.8784703654441022
9,Auto MPG,392,7,1,CPF,19,0.8699778423018886
9,Auto MPG,392,7,1,RF,19,0.8935746351532774
9,Auto MPG,392,7,2,CPF,1,0.8049307274765884
9,Auto MPG,392,7,2,RF,1,0.600955666869327
9,Auto MPG,392,7,2,CPF,2,0.7714968393714459
9,Auto MPG,392,7,2,RF,2,0.7789611103418267
9,Auto MPG,392,7,2,CPF,3,0.8095279487430734
9,Auto MPG,392,7,2,RF,3,0.8451239419455172
9,Auto MPG,392,7,2,CPF,4,0.8661276017528905
9,Auto MPG,392,7,2,RF,4,0.8223341675345218
9,Auto MPG,392,7,2,CPF,5,0.837087324812224
9,Auto MPG,392,7,2,RF,5,0.8454360816977909
9,Auto MPG,392,7,2,CPF,6,0.840850950765924
9,Auto MPG,392,7,2,RF,6,0.8219645057596352
9,Auto MPG,392,7,2,CPF,7,0.8685268372554512
9,Auto MPG,392,7,2,RF,7,0.8400155780523625
9,Auto MPG,392,7,2,CPF,8,0.8580882312754862
9,Auto MPG,392,7,2,RF,8,0.8664029653310489
9,Auto MPG,392,7,2,CPF,9,0.8770510560301759
9,Auto MPG,392,7,2,RF,9,0.8553501622547726
9,Auto MPG,392,7,2,CPF,10,0.8480468075961949
9,Auto MPG,392,7,2,RF,10,0.859491083406283
9,Auto MPG,392,7,2,CPF,11,0.8716865086584935
9,Auto MPG,392,7,2,RF,11,0.8338774918198429
9,Auto MPG,392,7,2,CPF,12,0.8690519688711219
9,Auto MPG,392,7,2,RF,12,0.8278943528551664
9,Auto MPG,392,7,2,CPF,13,0.8489388323678049
9,Auto MPG,392,7,2,RF,13,0.869427126326577
9,Auto MPG,392,7,2,CPF,14,0.8488166991589104
9,Auto MPG,392,7,2,RF,14,0.8500710396061539
9,Auto MPG,392,7,2,CPF,15,0.866839954931936
9,Auto MPG,392,7,2,RF,15,0.8621347720226852
9,Auto MPG,392,7,2,CPF,16,0.8600625521804302
9,Auto MPG,392,7,2,RF,16,0.859898805598575
9,Auto MPG,392,7,2,CPF,17,0.8641085663387945
9,Auto MPG,392,7,2,RF,17,0.85944593808392
9,Auto MPG,392,7,2,CPF,18,0.8570749150466764
9,Auto MPG,392,7,2,RF,18,0.8603028011707411
9,Auto MPG,392,7,2,CPF,19,0.8606184116256171
9,Auto MPG,392,7,2,RF,19,0.8608262486239233
9,Auto MPG,392,7,3,CPF,1,0.7806141450598801
9,Auto MPG,392,7,3,RF,1,0.7445398619016299
9,Auto MPG,392,7,3,CPF,2,0.8147749078906349
9,Auto MPG,392,7,3,RF,2,0.8287104433032715
9,Auto MPG,392,7,3,CPF,3,0.8530164992281265
9,Auto MPG,392,7,3,RF,3,0.8400945077357495
9,Auto MPG,392,7,3,CPF,4,0.8286195863425925
9,Auto MPG,392,7,3,RF,4,0.8186828395659764
9,Auto MPG,392,7,3,CPF,5,0.8430341675964022
9,Auto MPG,392,7,3,RF,5,0.8266281892127622
9,Auto MPG,392,7,3,CPF,6,0.8611603034903081
9,Auto MPG,392,7,3,RF,6,0.8099895160691445
9,Auto MPG,392,7,3,CPF,7,0.8244276428786299
9,Auto MPG,392,7,3,RF,7,0.8304247396962477
9,Auto MPG,392,7,3,CPF,8,0.8484368114491843
9,Auto MPG,392,7,3,RF,8,0.8046468110279487
9,Auto MPG,392,7,3,CPF,9,0.8496184586950268
9,Auto MPG,392,7,3,RF,9,0.8443789030196575
9,Auto MPG,392,7,3,CPF,10,0.8268295703926468
9,Auto MPG,392,7,3,RF,10,0.8369739570657965
9,Auto MPG,392,7,3,CPF,11,0.8500319337556383
9,Auto MPG,392,7,3,RF,11,0.8237935641261183
9,Auto MPG,392,7,3,CPF,12,0.8419239789107971
9,Auto MPG,392,7,3,RF,12,0.8313531905306778
9,Auto MPG,392,7,3,CPF,13,0.8475233740806118
9,Auto MPG,392,7,3,RF,13,0.8347419245174856
9,Auto MPG,392,7,3,CPF,14,0.8455913859701047
9,Auto MPG,392,7,3,RF,14,0.8266816811584379
9,Auto MPG,392,7,3,CPF,15,0.8453009043441659
9,Auto MPG,392,7,3,RF,15,0.8296349246559926
9,Auto MPG,392,7,3,CPF,16,0.849024034666364
9,Auto MPG,392,7,3,RF,16,0.8375038171363629
9,Auto MPG,392,7,3,CPF,17,0.8499830097241055
9,Auto MPG,392,7,3,RF,17,0.840089510174172
9,Auto MPG,392,7,3,CPF,18,0.8471468139640473
9,Auto MPG,392,7,3,RF,18,0.8341845901853928
9,Auto MPG,392,7,3,CPF,19,0.8538412457690818
9,Auto MPG,392,7,3,RF,19,0.8259129178173148
9,Auto MPG,392,7,4,CPF,1,0.7904413827475708
9,Auto MPG,392,7,4,RF,1,0.8731937114255638
9,Auto MPG,392,7,4,CPF,2,0.8964877928923449
9,Auto MPG,392,7,4,RF,2,0.8124076275556392
9,Auto MPG,392,7,4,CPF,3,0.8908132418766482
9,Auto MPG,392,7,4,RF,3,0.8831242131450147
9,Auto MPG,392,7,4,CPF,4,0.8783002893526426
9,Auto MPG,392,7,4,RF,4,0.8942579691846309
9,Auto MPG,392,7,4,CPF,5,0.8901696410140505
9,Auto MPG,392,7,4,RF,5,0.9045828982625913
9,Auto MPG,392,7,4,CPF,6,0.8911825307697364
9,Auto MPG,392,7,4,RF,6,0.8873916479715138
9,Auto MPG,392,7,4,CPF,7,0.8858999144742211
9,Auto MPG,392,7,4,RF,7,0.8833975214166422
9,Auto MPG,392,7,4,CPF,8,0.8699597900924011
9,Auto MPG,392,7,4,RF,8,0.8963962509632739
9,Auto MPG,392,7,4,CPF,9,0.8950204273881092
9,Auto MPG,392,7,4,RF,9,0.8873541967682852
9,Auto MPG,392,7,4,CPF,10,0.8866855636284167
9,Auto MPG,392,7,4,RF,10,0.8985811597680395
9,Auto MPG,392,7,4,CPF,11,0.8910756044622669
9,Auto MPG,392,7,4,RF,11,0.8884996103006919
9,Auto MPG,392,7,4,CPF,12,0.8995480739391923
9,Auto MPG,392,7,4,RF,12,0.9050011156636429
9,Auto MPG,392,7,4,CPF,13,0.9176273894137499
9,Auto MPG,392,7,4,RF,13,0.9014048675213207
9,Auto MPG,392,7,4,CPF,14,0.9031991188983661
9,Auto MPG,392,7,4,RF,14,0.8980651228397751
9,Auto MPG,392,7,4,CPF,15,0.9009309139776649
9,Auto MPG,392,7,4,RF,15,0.8961713550510209
9,Auto MPG,392,7,4,CPF,16,0.8827007824449513
9,Auto MPG,392,7,4,RF,16,0.884241576224471
9,Auto MPG,392,7,4,CPF,17,0.8898073410740834
9,Auto MPG,392,7,4,RF,17,0.8964134530648821
9,Auto MPG,392,7,4,CPF,18,0.9052798518418129
9,Auto MPG,392,7,4,RF,18,0.8866632838693833
9,Auto MPG,392,7,4,CPF,19,0.9145835239180797
9,Auto MPG,392,7,4,RF,19,0.8980653117655517
9,Auto MPG,392,7,5,CPF,1,0.7364482186239361
9,Auto MPG,392,7,5,RF,1,0.7174020698171801
9,Auto MPG,392,7,5,CPF,2,0.8343603225740281
9,Auto MPG,392,7,5,RF,2,0.8285503711338543
9,Auto MPG,392,7,5,CPF,3,0.8306504481110827
9,Auto MPG,392,7,5,RF,3,0.8350506155381263
9,Auto MPG,392,7,5,CPF,4,0.8787225686515922
9,Auto MPG,392,7,5,RF,4,0.8121170492008983
9,Auto MPG,392,7,5,CPF,5,0.88851591180715
9,Auto MPG,392,7,5,RF,5,0.8677694233129966
9,Auto MPG,392,7,5,CPF,6,0.8678101359864379
9,Auto MPG,392,7,5,RF,6,0.8691958196619678
9,Auto MPG,392,7,5,CPF,7,0.8796509561418996
9,Auto MPG,392,7,5,RF,7,0.8675136780178403
9,Auto MPG,392,7,5,CPF,8,0.8851993137495768
9,Auto MPG,392,7,5,RF,8,0.8604884212337107
9,Auto MPG,392,7,5,CPF,9,0.9000747693941568
9,Auto MPG,392,7,5,RF,9,0.8528684432422831
