id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
87,Servo,167,4,0,0,1,CPF 50,0.9223376300587568,0.0019512176513671,8.678436279296875e-05,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 51,0.963936131474614,0.0019967555999755,0.0001001358032226,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 52,0.9061867209052124,0.0020887851715087,0.0001211166381835,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 53,0.8686055039533078,0.0023818016052246,0.00020432472229,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.1
87,Servo,167,4,0,0,1,CPF 54,0.7103962819111425,0.0018625259399414,0.0001287460327148,5.0,2.0,2.0,10.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 55,0.8567409587313053,0.002098798751831,0.0001115798950195,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 56,0.7202887446155188,0.0018928050994873,8.702278137207031e-05,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.001
87,Servo,167,4,0,0,1,CPF 57,0.7738668879428257,0.0018959045410156,8.630752563476562e-05,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.01
87,Servo,167,4,0,0,1,CPF 58,0.9467816212023727,0.0019636154174804,0.0001060962677001,5.0,2.0,2.0,10.0,100.0,0.7,1.0,0.1
87,Servo,167,4,0,0,1,CPF 59,0.3865539141502974,0.0013484954833984,0.0001094341278076,5.0,2.0,2.0,10.0,100.0,0.7,1.0,1.0
87,Servo,167,4,0,0,1,CPF 60,0.7461690621102177,0.0032134056091308,0.0001344680786132,5.0,2.0,2.0,20.0,100.0,1,1.0,0.0
87,Servo,167,4,0,0,1,CPF 61,0.6668671839469921,0.0030791759490966,0.0001285076141357,5.0,2.0,2.0,20.0,100.0,1,1.0,0.001
87,Servo,167,4,0,0,1,CPF 62,0.8909197437865168,0.0030386447906494,0.0001113414764404,5.0,2.0,2.0,20.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 63,0.9150364267779648,0.0029923915863037,0.0001082420349121,5.0,2.0,2.0,20.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 64,0.9339069576050054,0.0029313564300537,0.0001327991485595,5.0,2.0,2.0,20.0,100.0,1,1.0,1.0
87,Servo,167,4,0,0,1,CPF 65,0.804677645265192,0.0023276805877685,0.0001223087310791,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 66,0.8213329054292213,0.0020289421081542,9.107589721679688e-05,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 67,0.7351885630858311,0.0020294189453125,9.65595245361328e-05,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 68,0.8880971421460867,0.0018401145935058,0.0001025199890136,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.1
87,Servo,167,4,0,0,1,CPF 69,0.7093474766876011,0.0012903213500976,0.0001015663146972,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 70,0.7789557712739623,0.0026526451110839,0.0002717971801757,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 71,0.8346020033081536,0.0022377967834472,0.000119924545288,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.001
87,Servo,167,4,0,0,1,CPF 72,0.8017642069557168,0.0020108222961425,9.41753387451172e-05,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.01
87,Servo,167,4,0,0,1,CPF 73,0.8698849933826589,0.0018949508666992,8.96453857421875e-05,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.1
87,Servo,167,4,0,0,1,CPF 74,0.7827169703932415,0.0013446807861328,0.0002837181091308,5.0,2.0,2.0,20.0,100.0,0.7,1.0,1.0
87,Servo,167,4,0,0,1,CPF 75,0.7615404608635781,0.0032916069030761,0.0001425743103027,5.0,2.0,2.0,50.0,100.0,1,1.0,0.0
87,Servo,167,4,0,0,1,CPF 76,0.8863884325193683,0.0031254291534423,0.0001313686370849,5.0,2.0,2.0,50.0,100.0,1,1.0,0.001
87,Servo,167,4,0,0,1,CPF 77,0.8739811758902691,0.0030093193054199,0.0001275539398193,5.0,2.0,2.0,50.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 78,0.7881976445870131,0.0030064582824707,0.0001626014709472,5.0,2.0,2.0,50.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 79,0.8513123380157339,0.0019633769989013,9.489059448242188e-05,5.0,2.0,2.0,50.0,100.0,1,1.0,1.0
87,Servo,167,4,0,0,1,CPF 80,0.7877879021809386,0.0021157264709472,0.0001389980316162,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 81,0.8251926401954626,0.0025017261505126,0.0001318454742431,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 82,0.8063759338693117,0.0020034313201904,0.0001120567321777,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 83,0.7565162809944692,0.0017046928405761,8.58306884765625e-05,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.1
