id,name,n_samples,n_features,fold,CPF R2,Lasso R2 alpha=0.01,Lasso n_trees alpha=0.01,Lasso R2 alpha=0.1,Lasso n_trees alpha=0.1,Lasso R2 alpha=1,Lasso n_trees alpha=1,Lasso R2 alpha=10,Lasso n_trees alpha=10
162,Forest Fires,517,12,2,-0.011625015745591938,-0.2646555538934825,43,-0.18252306113477434,22,-2.0929553343762564e-06,0,-2.0929553343762564e-06,0
162,Forest Fires,517,12,3,-0.04792145930611058,-0.5020760866960428,47,-0.4917028151685954,27,-0.0019331956943433592,0,-0.0019331956943433592,0
162,Forest Fires,517,12,4,-0.04536380324982803,-0.18148841041109876,46,-0.15483860423655305,29,-0.0021005774016540357,0,-0.0021005774016540357,0
162,Forest Fires,517,12,5,-0.04863513303935707,-0.28098579247024746,52,-0.20409503674498986,29,-0.01855460196184522,0,-0.01855460196184522,0
165,Concrete Compressive Strength,1030,8,1,0.913433200872361,0.8934914325536707,58,0.902685666272905,45,0.8999129457343538,43,0.5604802175175732,14
165,Concrete Compressive Strength,1030,8,2,0.8889466007901634,0.8984455166191626,52,0.8954073771122113,41,0.8885275093627296,35,0.5162199661004625,13
165,Concrete Compressive Strength,1030,8,3,0.9100898510742955,0.9157690105653624,54,0.9146323566234855,40,0.9125456158884949,39,0.5702809959607966,13
165,Concrete Compressive Strength,1030,8,4,0.9079306666785117,0.904739452179709,50,0.9090191298537835,38,0.9075174972308527,38,0.5679237035194448,9
165,Concrete Compressive Strength,1030,8,5,0.9293856127904782,0.936116850250285,52,0.9351508493490835,33,0.9308980586225295,32,0.5832837820010309,11
183,Communities and Crime,1993,100,1,0.6466542581626393,0.6335670132146676,60,0.5034351602225191,22,-0.0026793104083384645,0,-0.0026793104083384645,0
183,Communities and Crime,1993,100,2,0.6567074416770791,0.6448683624346087,52,0.5198615165234235,23,-0.0007847594330543384,0,-0.0007847594330543384,0
183,Communities and Crime,1993,100,3,0.6653865054028214,0.6661379249693118,58,0.5289863080840568,25,-0.0008668835283962562,0,-0.0008668835283962562,0
