id,name,n_samples,n_features,fold,model,r2_forest,tree_match_score,best_tree_r2
165,Concrete Compressive Strength,1030,8,1,RF,0.8735896214182478,0.9034374788832871,0.76631331131583
165,Concrete Compressive Strength,1030,8,2,CPF,0.8910517124545747,0.9332395636816586,0.8048222425373226
165,Concrete Compressive Strength,1030,8,2,RF,0.9079785559843886,0.9257677873817995,0.8467013856667494
165,Concrete Compressive Strength,1030,8,3,CPF,0.9057076363145908,0.932608446044286,0.8551238587722753
165,Concrete Compressive Strength,1030,8,3,RF,0.9110371810315019,0.8977430919281968,0.8125056254412367
165,Concrete Compressive Strength,1030,8,4,CPF,0.9153070067808304,0.934281776898994,0.882268579680114
165,Concrete Compressive Strength,1030,8,4,RF,0.9128789876023842,0.9114549549354709,0.842168982142933
165,Concrete Compressive Strength,1030,8,5,CPF,0.9299734808707438,0.9054215380044794,0.8470588449666837
165,Concrete Compressive Strength,1030,8,5,RF,0.9233277252480117,0.8980483379999997,0.8601667758107189
183,Communities and Crime,1993,100,1,CPF,0.6488694406883786,0.6069261457781017,0.40228760208433867
183,Communities and Crime,1993,100,1,RF,0.6230234142718953,0.5671240238653201,0.3897411082798974
183,Communities and Crime,1993,100,2,CPF,0.6512362313086468,0.6072843990119667,0.3919117013492288
183,Communities and Crime,1993,100,2,RF,0.6475828639862988,0.5898778167709895,0.3377674891414131
183,Communities and Crime,1993,100,3,CPF,0.6595884387992906,0.5452743664840267,0.42259897776840727
183,Communities and Crime,1993,100,3,RF,0.6476630412372009,0.5172995652490575,0.37631588496073476
183,Communities and Crime,1993,100,4,CPF,0.6589911309816399,0.591167498352643,0.28008444795567844
183,Communities and Crime,1993,100,4,RF,0.6326696046178677,0.6046921782498154,0.3360169206966568
183,Communities and Crime,1993,100,5,CPF,0.7071823450864908,0.6154608586453025,0.43162201349126506
183,Communities and Crime,1993,100,5,RF,0.6924238251737973,0.6011692486547926,0.4330827622013288
186,Wine Quality,6497,11,1,CPF,0.49442301852101334,0.3269837379906071,0.17248026474008493
186,Wine Quality,6497,11,1,RF,0.49246459893948047,0.0058609492197121416,0.011299861071019435
186,Wine Quality,6497,11,2,CPF,0.5081574237568346,0.4002308113887588,0.231080290645875
186,Wine Quality,6497,11,2,RF,0.5099061560808634,-0.07790563039256337,-0.030951942608113514
186,Wine Quality,6497,11,3,CPF,0.5025963696316891,0.5594053849438758,0.25804318315130637
186,Wine Quality,6497,11,3,RF,0.5254694973045441,-0.012629384275484545,0.048751032622520674
